customer_id,last_purchase_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,segment
12558,2011-12-02 10:41:00,1,809.88,8,5,1,1,511,New Customers
12559,2011-02-02 09:49:00,2,1685.13,311,2,2,2,222,Lost
12560,2011-12-04 13:54:00,3,6402.03,5,5,3,4,534,Loyal Customers
12561,2011-02-10 11:39:00,1,716.55,303,2,1,1,211,Lost
12562,2011-12-01 17:20:00,9,14900.76,8,5,5,5,555,Champions
12563,2010-10-27 09:52:00,1,747.72,409,2,1,1,211,Lost
12564,2011-03-23 14:55:00,1,1370.7,261,2,1,2,212,Lost
12565,2011-02-24 10:34:00,1,437.76,289,2,1,1,211,Lost
12566,2011-09-14 14:30:00,1,1054.95,86,3,1,2,312,Others
12567,2011-11-17 11:02:00,15,41129.58,23,4,5,5,455,Champions
12568,2010-03-05 09:15:00,1,210.0,645,1,1,1,111,Lost
12569,2011-12-07 16:24:00,32,12374.07,2,5,5,5,555,Champions
12570,2010-01-26 17:28:00,1,232.56,682,1,1,1,111,Lost
12571,2011-10-31 10:19:00,2,1558.83,40,4,2,2,422,New Customers
12572,2011-12-01 09:20:00,2,3061.26,9,5,2,3,523,New Customers
12573,2011-04-26 15:52:00,5,2152.23,227,2,4,3,243,At Risk
12574,2011-01-28 09:20:00,1,655.35,316,2,1,1,211,Lost
12575,2010-09-08 13:09:00,2,1868.46,457,1,2,3,123,Lost
12576,2011-11-04 10:11:00,8,6428.16,36,4,4,4,444,Champions
12577,2011-11-04 13:24:00,8,4961.25,35,4,4,4,444,Champions
12578,2011-11-18 13:30:00,4,13927.35,21,4,3,5,435,Loyal Customers
12579,2011-09-22 17:15:00,1,1321.26,78,3,1,2,312,Others
12580,2011-04-07 10:24:00,2,3158.7,247,2,2,3,223,Lost
12581,2011-10-31 08:56:00,1,593.13,40,4,1,1,411,New Customers
12582,2011-04-15 08:45:00,4,5941.2,239,2,3,4,234,At Risk
12583,2011-12-07 08:07:00,27,43342.32,3,5,5,5,555,Champions
12584,2011-12-06 09:35:00,9,7014.45,4,5,5,4,554,Champions
12585,2011-04-19 13:39:00,2,6120.3,234,2,2,4,224,Lost
12586,2011-11-22 16:24:00,4,6188.01,17,5,3,4,534,Loyal Customers
12587,2011-12-02 12:47:00,1,432.0,8,5,1,1,511,New Customers
12588,2011-10-31 15:01:00,4,2876.34,39,4,3,3,433,Loyal Customers
12589,2011-11-11 10:19:00,8,14086.98,29,4,4,5,445,Champions
12590,2011-05-12 14:52:00,2,29592.78,211,2,2,5,225,Lost
12591,2011-01-26 14:35:00,3,4056.45,317,2,3,4,234,At Risk
12592,2011-09-08 15:04:00,5,7747.98,92,3,4,4,344,Loyal Customers
12593,2011-08-23 12:43:00,3,1254.3,109,3,3,2,332,Loyal Customers
12594,2011-11-02 12:20:00,15,15270.33,38,4,5,5,455,Champions
12595,2010-07-23 09:10:00,1,897.06,505,1,1,2,112,Lost
12596,2011-10-19 13:02:00,2,1854.81,51,4,2,3,423,New Customers
12597,2011-11-20 13:33:00,4,11433.66,19,5,3,5,535,Loyal Customers
12598,2011-11-30 12:18:00,11,13602.27,10,5,5,5,555,Champions
12599,2011-11-10 13:34:00,13,6890.16,29,4,5,4,454,Champions
12600,2011-11-11 10:29:00,21,15131.76,29,4,5,5,455,Champions
12601,2011-06-03 10:17:00,6,2043.78,190,2,4,3,243,At Risk
12602,2011-10-12 11:22:00,1,459.36,59,4,1,1,411,New Customers
12603,2011-11-18 10:42:00,1,2217.6,22,4,1,3,413,New Customers
12604,2011-09-21 14:08:00,2,762.54,79,3,2,1,321,Others
12605,2010-11-28 14:18:00,4,3698.85,376,2,3,3,233,At Risk
12606,2010-01-26 16:23:00,1,63.0,682,1,1,1,111,Lost
12607,2011-10-10 16:06:00,1,4738.53,60,3,1,4,314,Others
12608,2010-10-31 10:49:00,1,1247.37,405,2,1,2,212,Lost
12609,2011-09-22 16:34:00,9,10307.58,78,3,5,5,355,Loyal Customers
12610,2011-11-17 09:34:00,5,6298.62,23,4,4,4,444,Champions
12611,2011-10-18 13:12:00,1,3579.96,52,4,1,3,413,New Customers
12612,2011-09-26 15:35:00,1,2112.12,74,3,1,3,313,Others
12613,2011-10-13 14:59:00,10,20505.21,57,4,5,5,455,Champions
12614,2011-03-07 10:22:00,1,946.8,278,2,1,2,212,Lost
12615,2011-12-07 15:02:00,8,17222.94,2,5,4,5,545,Champions
12616,2011-09-05 15:17:00,3,3393.3,95,3,3,3,333,Loyal Customers
12617,2011-11-10 14:39:00,1,1066.59,29,4,1,2,412,New Customers
12618,2011-11-18 11:10:00,1,531.93,22,4,1,1,411,New Customers
12619,2011-11-23 14:52:00,10,11344.14,16,5,5,5,555,Champions
12620,2011-11-25 10:20:00,3,4018.23,15,5,3,4,534,Loyal Customers
12621,2011-12-08 11:25:00,35,74327.43,2,5,5,5,555,Champions
12622,2011-04-21 16:39:00,1,540.3,232,2,1,1,211,Lost
12623,2011-03-08 13:50:00,7,11243.52,276,2,4,5,245,At Risk
12624,2011-08-25 15:04:00,2,1923.39,106,3,2,3,323,Others
12625,2011-05-12 09:54:00,4,15494.64,212,2,3,5,235,At Risk
12626,2011-11-16 16:06:00,9,19861.44,23,4,5,5,455,Champions
12627,2011-11-29 12:07:00,7,13435.59,11,5,4,5,545,Champions
12628,2011-12-05 13:15:00,3,2359.38,4,5,3,3,533,Loyal Customers
12629,2010-11-19 09:18:00,2,4674.66,386,2,2,4,224,Lost
12630,2011-11-30 10:48:00,2,3812.64,10,5,2,4,524,New Customers
12631,2011-10-13 13:53:00,6,10444.71,57,4,4,5,445,Champions
12632,2010-07-07 09:39:00,2,2414.64,521,1,2,3,123,Lost
12633,2011-10-12 11:40:00,7,17034.48,59,4,4,5,445,Champions
12634,2010-06-22 10:05:00,2,1470.0,536,1,2,2,122,Lost
12635,2011-09-11 11:04:00,4,8791.23,90,3,3,4,334,Loyal Customers
12636,2009-12-01 09:55:00,1,423.0,739,1,1,1,111,Lost
12637,2011-10-03 13:46:00,12,25020.93,67,3,5,5,355,Loyal Customers
12638,2011-11-06 13:11:00,2,2764.47,33,4,2,3,423,New Customers
12639,2011-04-15 12:48:00,3,3937.11,239,2,3,4,234,At Risk
12640,2011-11-16 11:52:00,3,3523.74,24,4,3,3,433,Loyal Customers
12641,2011-08-16 13:26:00,1,557.7,115,3,1,1,311,Others
12642,2011-11-14 15:03:00,3,3039.78,25,4,3,3,433,Loyal Customers
12643,2011-08-03 12:56:00,12,25051.26,128,3,5,5,355,Loyal Customers
12644,2011-08-02 10:33:00,4,5755.47,130,3,3,4,334,Loyal Customers
12645,2011-11-06 12:38:00,8,10617.9,34,4,4,5,445,Champions
12646,2011-12-05 10:14:00,2,4040.91,5,5,2,4,524,New Customers
12647,2011-11-17 12:56:00,36,53773.05,22,4,5,5,455,Champions
12648,2011-07-08 11:55:00,4,3336.0,155,3,3,3,333,Loyal Customers
12649,2011-08-24 14:41:00,8,6883.95,107,3,4,4,344,Loyal Customers
12650,2011-12-06 16:34:00,1,943.32,3,5,1,2,512,New Customers
12651,2011-01-09 12:46:00,4,1133.25,335,2,3,2,232,Others
12652,2011-01-12 15:00:00,2,3051.09,331,2,2,3,223,Lost
12653,2011-07-14 10:41:00,3,12482.49,149,3,3,5,335,Loyal Customers
12654,2011-11-29 10:10:00,5,1805.94,11,5,4,2,542,Loyal Customers
12655,2010-10-12 09:17:00,1,784.05,424,1,1,1,111,Lost
12656,2011-11-22 13:42:00,8,19223.49,17,5,4,5,545,Champions
12657,2011-11-28 15:47:00,4,4929.54,11,5,3,4,534,Loyal Customers
12658,2011-11-21 10:22:00,1,2058.15,19,5,1,3,513,New Customers
12659,2011-11-10 11:53:00,1,275.04,30,4,1,1,411,New Customers
12660,2011-11-28 13:26:00,1,735.3,11,5,1,1,511,New Customers
12661,2010-09-29 16:46:00,1,486.0,436,1,1,1,111,Lost
12662,2011-12-09 11:59:00,20,20964.06,1,5,5,5,555,Champions
12663,2010-03-25 09:40:00,2,718.2,625,1,2,1,121,Lost
12664,2011-12-01 17:07:00,11,18210.12,8,5,5,5,555,Champions
12665,2011-01-19 08:34:00,3,940.8,325,2,3,2,232,Others
12666,2010-11-10 16:40:00,1,3745.26,394,2,1,4,214,Lost
12667,2011-10-12 17:00:00,1,1860.39,58,4,1,3,413,New Customers
12668,2011-11-28 10:56:00,10,34334.04,12,5,5,5,555,Champions
12669,2011-07-12 09:54:00,3,8232.09,151,3,3,4,334,Loyal Customers
12670,2011-11-29 15:23:00,7,11280.87,10,5,4,5,545,Champions
12671,2010-04-12 16:30:00,1,7867.44,606,1,1,4,114,Lost
12672,2011-01-14 09:20:00,2,1311.15,330,2,2,2,222,Lost
12673,2011-12-04 13:55:00,3,3690.06,5,5,3,3,533,Loyal Customers
12674,2011-11-01 12:12:00,4,5911.8,39,4,3,4,434,Loyal Customers
12675,2010-06-04 09:49:00,2,2875.5,554,1,2,3,123,Lost
12676,2011-11-15 12:25:00,11,8529.27,25,4,5,4,454,Champions
12677,2010-06-02 14:30:00,2,1185.3,555,1,2,2,122,Lost
12678,2011-10-28 13:04:00,21,102843.54,42,4,5,5,455,Champions
12679,2011-10-12 12:30:00,4,3339.06,59,4,3,3,433,Loyal Customers
12680,2011-12-09 12:50:00,4,2642.43,1,5,3,3,533,Loyal Customers
12681,2011-11-25 11:33:00,45,92604.84,15,5,5,5,555,Champions
12682,2011-12-06 10:00:00,52,72101.73,4,5,5,5,555,Champions
12683,2011-12-05 16:31:00,21,38090.34,4,5,5,5,555,Champions
12684,2011-12-02 09:53:00,7,6850.89,8,5,4,4,544,Champions
12685,2011-11-11 13:46:00,6,8589.24,28,4,4,4,444,Champions
12686,2010-12-03 09:51:00,1,534.84,372,2,1,1,211,Lost
12687,2010-08-16 12:12:00,2,6416.73,481,1,2,4,124,Lost
12688,2011-08-18 08:49:00,1,14621.43,114,3,1,5,315,Others
12689,2011-11-14 08:31:00,2,3742.83,26,4,2,3,423,New Customers
12690,2011-05-18 09:09:00,1,1167.03,206,2,1,2,212,Lost
12691,2011-11-11 16:49:00,7,3511.2,28,4,4,3,443,Loyal Customers
12692,2010-03-12 14:02:00,1,332.85,637,1,1,1,111,Lost
12693,2011-08-04 17:51:00,7,5109.06,127,3,4,4,344,Loyal Customers
12694,2011-09-30 13:06:00,3,5530.05,70,3,3,4,334,Loyal Customers
12695,2011-12-02 13:22:00,7,4221.36,7,5,4,4,544,Champions
12696,2010-10-01 10:43:00,2,2555.73,435,1,2,3,123,Lost
12697,2011-11-11 08:47:00,3,2872.77,29,4,3,3,433,Loyal Customers
12698,2010-04-28 15:51:00,1,1019.25,590,1,1,2,112,Lost
12699,2010-10-18 12:07:00,1,1914.33,418,1,1,3,113,Lost
12700,2011-12-02 10:47:00,4,14819.97,8,5,3,5,535,Loyal Customers
12701,2011-09-21 10:47:00,6,7339.23,80,3,4,4,344,Loyal Customers
12702,2011-11-20 10:36:00,1,657.0,20,4,1,1,411,New Customers
12703,2011-09-29 17:52:00,4,3019.59,71,3,3,3,333,Loyal Customers
12704,2011-12-02 13:15:00,8,7022.52,7,5,4,4,544,Champions
12705,2011-11-24 13:17:00,14,35286.3,15,5,5,5,555,Champions
12707,2011-02-21 08:38:00,1,1810.26,292,2,1,2,212,Lost
12708,2011-11-10 09:52:00,18,15942.3,30,4,5,5,455,Champions
12709,2011-11-24 15:38:00,34,93280.02,15,5,5,5,555,Champions
12710,2011-09-04 12:00:00,3,3447.06,97,3,3,3,333,Loyal Customers
12711,2010-04-07 11:59:00,2,4017.15,612,1,2,4,124,Lost
12712,2011-11-11 08:19:00,21,21580.98,29,4,5,5,455,Champions
12713,2011-12-09 12:16:00,1,2545.65,1,5,1,3,513,New Customers
12714,2011-11-30 15:43:00,12,42281.13,9,5,5,5,555,Champions
